Time,Refinancing,"Rate,Rediscount Rate",Overnight Interbank Lending Rate,OMO Rate
Jan-22,4,2.5,N/A,N/A
Feb-22,4,2.5,N/A,N/A
Mar-22,4,2.5,N/A,N/A
Apr-22,4,2.5,N/A,N/A
May-22,4,2.5,N/A,N/A
Jun-22,4,2.5,N/A,N/A
Jul-22,4,2.5,N/A,N/A
Aug-22,4,2.5,N/A,N/A
Sep-22,5,3.5,N/A,N/A
Oct-22,6,4.5,N/A,N/A
Nov-22,6,4.5,N/A,N/A
Dec-22,6,4.5,N/A,N/A
Jan-23,6,4.5,N/A,N/A
Feb-23,6,4.5,N/A,N/A
Mar-23,6,3.5,6,N/A
Apr-23,5.5,3.5,6,N/A
May-23,5,3,5.5,N/A
Jun-23,4.5,3,5,N/A
Jul-23,4.5,3,5,N/A
Aug-23,4.5,3,5,N/A
Sep-23,4.5,3,5,N/A
Oct-23,4.5,3,5,N/A
Nov-23,4.5,3,5,N/A
Dec-23,4.5,3,5,N/A
Jan-24,4.5,3,5,N/A
Feb-24,4.5,3,5,N/A
Mar-24,4.5,3,5,N/A
Apr-24,4.5,3,5,N/A
May-24,4.5,3,5,4.5
Jun-24,4.5,3,5,4.5
Jul-24,4.5,3,5,4.5
Aug-24,4.5,3,5,4.25
Sep-24,4.5,3,5,4.25
Oct-24,4.5,3,5,4.25
Nov-24,4.5,3,5,4.25
Dec-24,4.5,3,5,4.25
